Datetime,Water Level (m)
2024-02-09 06:00:00,0.6454092
2024-02-09 07:00:00,0.7640465
2024-02-09 08:00:00,0.6597388
2024-02-09 09:00:00,0.24303852
2024-02-09 10:00:00,-0.31811836
2024-02-09 11:00:00,-0.90872604
2024-02-09 12:00:00,-1.4877533
2024-02-09 13:00:00,-2.0439808
2024-02-09 14:00:00,-2.1312995
2024-02-09 15:00:00,-0.98943645
2024-02-09 16:00:00,-0.03916396
2024-02-09 17:00:00,0.7411539
2024-02-09 18:00:00,1.2014308
2024-02-09 19:00:00,1.3704215
2024-02-09 20:00:00,1.2882077
2024-02-09 21:00:00,0.83355165
2024-02-09 22:00:00,0.20891006
2024-02-09 23:00:00,-0.4754472
2024-02-10 00:00:00,-1.1076794
2024-02-10 01:00:00,-1.7955952
2024-02-10 02:00:00,-2.2145603
2024-02-10 03:00:00,-1.9898013
2024-02-10 04:00:00,-0.804599
2024-02-10 05:00:00,0.07918705
2024-02-10 06:00:00,0.743598
2024-02-10 07:00:00,1.008444
2024-02-10 08:00:00,1.0319837
2024-02-10 09:00:00,0.77655977
2024-02-10 10:00:00,0.20353241
2024-02-10 11:00:00,-0.38065207
2024-02-10 12:00:00,-1.0481204
2024-02-10 13:00:00,-1.6667234
2024-02-10 14:00:00,-2.2083075
2024-02-10 15:00:00,-1.9150265
2024-02-10 16:00:00,-0.6469427
2024-02-10 17:00:00,0.29136738
2024-02-10 18:00:00,1.0682288
2024-02-10 19:00:00,1.4265984
2024-02-10 20:00:00,1.547153
2024-02-10 21:00:00,1.3354561
2024-02-10 22:00:00,0.75536066
2024-02-10 23:00:00,0.10599521
2024-02-11 00:00:00,-0.610496
2024-02-11 01:00:00,-1.2639303
2024-02-11 02:00:00,-1.8845907
2024-02-11 03:00:00,-2.3324337
2024-02-11 04:00:00,-1.3939489
2024-02-11 05:00:00,-0.3164127
2024-02-11 06:00:00,0.47061807
2024-02-11 07:00:00,1.0328461
2024-02-11 08:00:00,1.189357
2024-02-11 09:00:00,1.143894
2024-02-11 10:00:00,0.74274147
2024-02-11 11:00:00,0.14051153
2024-02-11 12:00:00,-0.47726983
2024-02-11 13:00:00,-1.1629165
2024-02-11 14:00:00,-1.8022239
2024-02-11 15:00:00,-2.156079
2024-02-11 16:00:00,-1.4569902
2024-02-11 17:00:00,-0.28513575
2024-02-11 18:00:00,0.60388505
2024-02-11 19:00:00,1.2584378
2024-02-11 20:00:00,1.5554714
2024-02-11 21:00:00,1.5576286
2024-02-11 22:00:00,1.2116098
2024-02-11 23:00:00,0.5614841
2024-02-12 00:00:00,-0.087599404
2024-02-12 01:00:00,-0.8136454
2024-02-12 02:00:00,-1.4399033
2024-02-12 03:00:00,-2.0467472
2024-02-12 04:00:00,-2.145458
2024-02-12 05:00:00,-0.9183966
2024-02-12 06:00:00,0.0323514
2024-02-12 07:00:00,0.8018095
2024-02-12 08:00:00,1.1967499
2024-02-12 09:00:00,1.3126023
2024-02-12 10:00:00,1.1525841
2024-02-12 11:00:00,0.62085277
2024-02-12 12:00:00,0.015561554
2024-02-12 13:00:00,-0.6435942
2024-02-12 14:00:00,-1.2935818
2024-02-12 15:00:00,-1.9087493
2024-02-12 16:00:00,-2.1448803
2024-02-12 17:00:00,-1.0655863
2024-02-12 18:00:00,-0.0141357975
2024-02-12 19:00:00,0.8084597
2024-02-12 20:00:00,1.2799784
2024-02-12 21:00:00,1.5066577
2024-02-12 22:00:00,1.4047519
2024-02-12 23:00:00,0.93572557
2024-02-13 00:00:00,0.3068525
2024-02-13 01:00:00,-0.3613509
2024-02-13 02:00:00,-1.0595211
2024-02-13 03:00:00,-1.701083
2024-02-13 04:00:00,-2.1962626
2024-02-13 05:00:00,-1.7731173
2024-02-13 06:00:00,-0.5912137
2024-02-13 07:00:00,0.27171
2024-02-13 08:00:00,0.9558771
2024-02-13 09:00:00,1.2222588
2024-02-13 10:00:00,1.2946112
2024-02-13 11:00:00,1.0554833
2024-02-13 12:00:00,0.48505476
2024-02-13 13:00:00,-0.13692926
2024-02-13 14:00:00,-0.7798651
2024-02-13 15:00:00,-1.3959144
2024-02-13 16:00:00,-1.930554
2024-02-13 17:00:00,-1.8774744
2024-02-13 18:00:00,-0.72045743
2024-02-13 19:00:00,0.17326717
2024-02-13 20:00:00,0.9028434
2024-02-13 21:00:00,1.236519
2024-02-13 22:00:00,1.3241172
2024-02-13 23:00:00,1.1539594
2024-02-14 00:00:00,0.6060136
2024-02-14 01:00:00,-0.0023640802
2024-02-14 02:00:00,-0.6703427
2024-02-14 03:00:00,-1.3139884
2024-02-14 04:00:00,-1.9234854
2024-02-14 05:00:00,-2.1475728
2024-02-14 06:00:00,-1.2713339
2024-02-14 07:00:00,-0.2932745
2024-02-14 08:00:00,0.44283062
2024-02-14 09:00:00,0.9838944
2024-02-14 10:00:00,1.1988633
2024-02-14 11:00:00,1.2098764
2024-02-14 12:00:00,0.88551253
2024-02-14 13:00:00,0.33142617
2024-02-14 14:00:00,-0.27132273
2024-02-14 15:00:00,-0.9123448
2024-02-14 16:00:00,-1.44317
2024-02-14 17:00:00,-1.8781039
2024-02-14 18:00:00,-1.5071362
2024-02-14 19:00:00,-0.48765096
2024-02-14 20:00:00,0.24607882
2024-02-14 21:00:00,0.81658316
2024-02-14 22:00:00,1.0672526
2024-02-14 23:00:00,1.0997291
2024-02-15 00:00:00,0.8419041
2024-02-15 01:00:00,0.30327228
2024-02-15 02:00:00,-0.28069973
2024-02-15 03:00:00,-0.9282576
2024-02-15 04:00:00,-1.480487
2024-02-15 05:00:00,-1.9802129
2024-02-15 06:00:00,-1.9228011
